Year	Month	Precip	PET-Thornwaite	PET_Hargreaves
1982	1	22.1947292	9.06835732349206	58.1594135000693
1982	2	38.5567294	8.95711521854652	62.1016287166844
1982	3	30.2951049988	41.4162344975858	108.568860365329
1982	4	57.4955775	62.2434225829314	134.144621985745
1982	5	140.57203215	104.852555063352	160.742304835715
1982	6	157.8267130209	148.592704385123	177.958568857235
1982	7	16.48013455	184.365006837533	192.321539641535
1982	8	29.8308191	181.08252629621	186.60034238917
1982	9	9.22249434	122.685379946278	145.911756336322
1982	10	22.793657056	64.0626793690931	103.088863774729
1982	11	55.81137859	23.9493804157932	61.7332784218381
1982	12	33.656395043	9.10780785977035	47.3007965968664
1983	1	57.8976893	6.19242873154101	50.5173038455643
1983	2	30.49772821	12.283770978498	64.2394596684458
1983	3	63.584375824	32.5938824753848	103.247536735314
1983	4	26.8130428	34.1783720664442	117.849405791257
1983	5	74.092057259	103.503168229108	175.691912439236
1983	6	111.2355508	137.934609837669	178.63465823974
1983	7	28.86711138	178.747882540396	193.198724851914
1983	8	25.295687	175.3942871186	187.279430730665
1983	9	7.621618228	123.446492408694	145.061725321464
1983	10	49.22786545	75.8544243669586	102.049384430825
1983	11	31.5820526	31.7833742428582	68.3911764498953
1983	12	3.1742563	0.970718660197411	39.7380367291928
1984	1	29.94285999	55.167210032036	86.1225525210962
1984	2	20.20058514	15.2817358639195	74.9250697066789
1984	3	38.47331279	36.1125444454606	111.941271362082
1984	4	16.787139	66.4757003007993	154.393739638441
1984	5	32.2941115	126.25976156918	186.487184287621
1984	6	41.0665505	164.828302308536	181.496916937816
1984	7	45.58143373	173.785148689677	194.929216061739
1984	8	46.73267033	167.961935743317	179.198917222901
1984	9	53.716379	100.034258115466	133.757794401105
1984	10	137.748222	60.0117017245209	87.6805362559285
1984	11	30.8831557	22.1086243053172	60.3991504468437
1984	12	122.8011477	16.6652902353733	50.728183540188
1985	1	19.37373161	58.639644901843	75.0874683875755
1985	2	20.11706118	56.2053168231847	84.8842189846993
1985	3	62.00583948	40.6884869878325	102.00082434902
1985	4	41.97087184	75.3194614365845	146.39709159976
1985	5	62.0140376	122.819136279948	179.573474678622
1985	6	74.998723	143.02910173612	177.354064597164
1985	7	39.9082452	83.9570354871374	159.622620450341
1985	8	25.4874046	79.3561359694722	143.601359931507
1985	9	72.6085148	112.946879684666	133.487299756482
1985	10	94.6898654	67.2120931958558	92.7198917446699
1985	11	26.08326579	31.9785404713824	67.4546029851859
1985	12	0	6.38409246410267	51.5589050872242
1986	1	1.215862	61.4842420848723	71.4596904829236
1986	2	38.17018604	19.7871923084332	72.8410359175001
1986	3	14.817892	76.7332667867401	121.455322419102
1986	4	18.343586092	87.1053746438403	151.754240192256
1986	5	133.4462405	116.29933320437	171.301460988448
1986	6	157.329552123	147.586557363951	167.7583407041
1986	7	20.6582889	183.278189195838	199.703436947304
1986	8	60.30624148	159.24366853109	169.883194761109
1986	9	124.643947	91.9781163395964	135.013637005187
1986	10	154.044752	57.5552570356264	90.0329660458948
1986	11	61.2961081071	33.2182724249523	67.7816792509453
1986	12	77.15131729	9.09994646527037	43.616817308165
1987	1	21.564094343	7.84453861910268	54.1955198393411
1987	2	80.012759606	15.3633396359689	62.6613974787575
1987	3	45.938574448	21.8953407432195	99.381145708173
1987	4	30.76685	54.1553829583051	145.924310313708
1987	5	197.367714115	106.095939150475	163.331522089269
1987	6	101.3372989	135.051366902989	167.728956046846
1987	7	18.3384011	163.877647560229	184.452972773762
1987	8	88.0552990086	168.822123220766	181.910695868733
1987	9	85.05208948	102.564920562085	139.217272786055
1987	10	7.4397941	66.5489035570688	109.844550420545
1987	11	24.2379485905	23.1678406178089	68.5756032710396
1987	12	29.80403294	9.41049387436851	52.7891307585071
1988	1	2.8905374	4.3370529451645	49.7598412237349
1988	2	10.29698212	10.9325641233259	68.1932622121329
1988	3	16.8869899	34.8688311240521	120.968376068401
1988	4	32.8060633	64.8966255589902	156.400583751033
1988	5	66.678550316	106.0024064594	176.107712827034
1988	6	89.545555916	151.34507613761	188.772742394536
1988	7	89.241411	167.126282157687	184.529381053941
1988	8	26.973041979	167.501763146456	185.194732118666
1988	9	60.21633207884	112.424833207397	144.248343256185
1988	10	10.956679	66.3363405014283	109.733325181736
1988	11	0.2228746	32.8319655706775	78.513243717901
1988	12	24.4926406	11.866977907183	54.9922965307547
1989	1	29.94122748	15.0638357042585	61.3016588128502
1989	2	95.930338803	6.37821489457362	54.8823369695382
1989	3	33.64268859976	38.5202328363721	119.728920228115
1989	4	30.424224072	76.5647730261472	150.815124372252
1989	5	122.7399948	136.624413545687	187.12223658767
1989	6	85.48828815	142.703227955715	184.099664374241
1989	7	22.225372972	182.952525772598	204.742090757122
1989	8	40.8144444	164.035012412598	176.872867131949
1989	9	54.25498	98.8835909014855	143.968059649277
1989	10	33.1807138	69.1383724043716	113.723812078088
1989	11	10.7161	28.9487639916871	72.6149956770053
1989	12	5.794751916	2.37751129961297	46.1363770004358
1990	1	31.33555582	15.88641778061	63.4315824168712
1990	2	80.038978445	20.6498301058486	76.1949108685167
1990	3	61.0339509999	36.1340867549964	100.777446714276
1990	4	135.367168544	65.0361984699819	132.073180527145
1990	5	82.506040111	114.468301252457	174.303791504014
1990	6	21.786817	194.104665722692	204.207078550245
1990	7	149.022710275	158.385737660595	175.137964725636
1990	8	45.092295395	157.789113546087	178.025645484983
1990	9	123.9755496	115.842489087914	134.060270012444
1990	10	55.5401113	59.6652320188379	108.760370483686
1990	11	61.930355546	31.953607767563	69.5292922359853
